Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Month,Date,Festival,Festival_Name
2019-10-19 17:00:00,92.698,183.4611111111111,4.208333333333333,41.1925,25.93625,44.2055,12.06,1.0120833333333332,55.79541666666668,2.37,15.438999999999998,2.114,3.42,2.278,3.85,29.698571428571427,52.7395,0.5627272727272727,153.85250000000002,0.0,0.0,22.10590909090909,805.994375,,10,19,False,
2019-10-19 18:00:00,105.646,218.7655555555556,13.706666666666669,61.435,45.22083333333333,44.008500000000005,9.717083333333331,1.5737500000000002,32.85583333333333,3.6435,15.001499999999998,3.5770000000000004,0.06,3.13375,7.4,27.547857142857143,58.1075,0.4545454545454545,153.26799999999997,0.0,0.0,12.866875,803.705625,,10,19,False,
2019-10-19 19:00:00,117.53272727272729,268.9483333333333,21.380416666666665,64.71958333333333,53.52041666666667,49.2305,9.385,1.784166666666667,32.435833333333335,4.849500000000001,20.229,4.337000000000001,2.77,3.814,7.733333333333333,26.64785714285714,60.7685,0.5590909090909091,163.173,0.0,0.0,13.15375,805.9025,,10,19,False,
2019-10-19 20:00:00,123.19208333333334,258.2825,17.204166666666666,62.75208333333334,48.66166666666667,50.521,10.236363636363636,1.6791666666666665,27.85875,4.718999999999999,26.6905,3.777,3.69,3.8,7.406000000000001,26.26571428571429,62.286,0.6840909090909091,173.756,0.0,0.0,12.92375,806.8775,,10,19,False,
2019-10-19 21:00:00,122.125,245.2585,21.11625,59.259166666666665,49.340833333333336,50.945,7.604583333333333,1.5483333333333331,23.447916666666668,4.4945,29.101,3.728,3.78,2.891,4.9975,25.720714285714283,64.5725,0.6668181818181819,164.97727272727272,0.0,0.0,13.111875,807.14,,10,19,False,
2019-10-19 22:00:00,116.18708333333336,235.27,19.124166666666667,57.00291666666666,46.35791666666668,51.8565,6.897083333333334,1.4570833333333333,20.744545454545456,4.1845,26.973000000000003,3.673000000000001,3.84,2.611,4.655833333333333,25.118571428571432,65.958,0.7245454545454546,173.03363636363636,0.0,0.0,13.21125,807.27625,,10,19,False,
2019-10-19 23:00:00,113.41,215.5015,12.79125,47.97125,35.77125,51.7995,8.572083333333333,1.2066666666666668,27.36409090909091,3.836,26.502,3.2269999999999994,3.84,2.499,4.493333333333333,24.77142857142857,66.3585,0.7436363636363637,185.6955,0.0,0.0,12.8075,807.28,,10,19,False,
2019-10-20 00:00:00,108.5025,197.58,10.55625,37.71791666666667,28.65958333333333,52.8475,6.677083333333333,0.9208333333333334,28.11136363636364,3.5345,24.538,2.997,3.83,2.789,4.265833333333334,24.217142857142854,67.6625,0.7795454545454544,180.936,0.0,0.0,12.910625,807.245,,10,20,False,
2019-10-20 01:00:00,111.65291666666668,191.683,9.0025,35.04833333333333,26.204583333333336,54.5615,10.724583333333332,0.8858333333333333,20.072727272727278,3.3815,22.417,2.7990000000000004,3.78,2.958,4.31,23.499285714285715,68.4035,0.7804545454545454,180.8285,0.0,0.0,13.1975,807.07375,,10,20,False,
2019-10-20 02:00:00,112.00083333333332,188.242,13.04625,34.215,27.555416666666662,54.316,10.553636363636365,0.8133333333333334,22.82636363636364,3.2385,21.2325,2.262,3.76,3.2370000000000005,4.31,22.637857142857143,70.47999999999999,0.7618181818181818,178.81900000000002,0.0,0.0,13.035,807.03,,10,20,False,
2019-10-20 03:00:00,112.49458333333332,183.99,6.149583333333333,35.70458333333333,24.325,56.6195,9.914090909090907,0.8254166666666668,21.611818181818183,3.102,20.818,2.032,3.75,3.386,4.215,21.8,72.697,0.7404545454545454,184.4295,0.0,0.0,13.099375,807.0075,,10,20,False,
2019-10-20 04:00:00,112.495,181.711,6.528333333333333,36.85318181818182,23.36083333333333,56.834,11.549583333333333,0.8120833333333334,17.23227272727273,3.0855,20.55,2.414,3.78,3.46,4.130833333333333,21.255714285714284,73.9475,0.75,183.4815,0.0,0.0,12.95875,807.256875,,10,20,False,
2019-10-20 05:00:00,110.45916666666666,182.8075,7.173333333333333,34.51416666666667,23.642916666666668,55.7135,10.2725,0.7945833333333333,13.365909090909092,2.8555,19.528,1.723,2.88,2.9170000000000003,3.85,20.41,75.341,0.6472727272727273,172.752,0.0,0.0,12.79,807.288125,,10,20,False,
2019-10-20 06:00:00,116.28666666666668,181.057,10.689583333333331,36.24125,28.05666666666667,56.2105,7.806250000000001,0.9420833333333332,13.675,2.9375,19.78,1.7719999999999998,3.93,3.132,4.076666666666667,19.809285714285718,77.045,0.6195454545454546,171.40900000000002,0.0,0.0,14.040454545454544,807.52,,10,20,False,
2019-10-20 07:00:00,122.84333333333332,192.4965,22.592916666666667,38.83958333333333,39.715,59.758,23.722727272727276,1.6929166666666668,13.600454545454546,3.08,19.982,1.822,3.98,3.271,4.1033333333333335,20.629285714285714,76.03,0.7018181818181819,171.9535,0.0,0.0,69.99181818181818,807.88625,,10,20,False,
2019-10-20 08:00:00,131.38166666666666,212.9975,15.62625,41.16708333333333,32.119166666666665,60.027,9.722083333333332,1.0566666666666666,22.403181818181817,3.3945,19.2815,1.873,3.94,3.109,4.101666666666667,23.28357142857143,69.8255,1.0245454545454544,166.845,0.0,0.0,183.45590909090907,808.011875,,10,20,False,
2019-10-20 09:00:00,139.71458333333334,225.435,7.772916666666667,38.035,26.555833333333336,55.23100000000001,11.879583333333334,1.100833333333333,35.804545454545455,3.2505,19.3285,1.893,,2.9275,3.926,25.724285714285717,61.73350000000001,1.0990909090909091,185.659,0.0,0.0,287.83681818181816,805.188125,,10,20,False,
2019-10-20 10:00:00,124.86,210.185,5.538333333333333,33.56083333333333,22.51375,46.0555,16.383333333333333,0.9770833333333332,50.455000000000005,2.848333333333333,20.72833333333333,1.602,,2.42,3.286,28.34,53.088,1.2445454545454544,186.5895,0.0,0.0,373.0768181818182,798.955,,10,20,False,
